Epoch,Default,No Elites,Low Mutation,High Mutation,Low Crossover
1,30.24390582,30.24390582,30.24390582,30.24390582,30.24390582
2,24.56807015,30.35449276,30.24390582,26.02529652,29.14243294
3,24.56807015,27.82195032,30.24390582,25.72439613,29.14243294
4,24.56807015,29.36032384,27.82566271,22.81426593,29.14243294
5,24.56807015,28.43199885,27.82566271,22.81426593,29.14243294
6,24.56807015,29.8395698,27.82566271,22.35309561,29.14243294
7,23.86353859,29.8395698,25.57292553,18.30863574,29.14243294
8,23.86353859,29.8395698,25.57292553,18.30863574,29.14243294
9,23.86353859,29.8395698,25.57292553,18.30863574,27.92464165
10,23.86353859,29.8395698,25.57292553,18.30863574,26.86090861
11,23.86353859,31.30439337,25.57292553,18.30863574,24.6078752
12,23.86353859,32.21687176,25.57292553,18.30863574,23.52582408
13,23.86353859,32.20235421,25.57292553,18.30863574,23.52582408
14,23.86353859,32.28967441,25.52417731,18.30863574,19.48925947
15,23.86353859,27.90361597,25.52417731,18.30863574,19.48925947
16,23.86353859,26.22615901,25.52417731,18.30863574,19.36864318
17,23.35812662,22.65688707,25.52417731,18.30863574,19.36864318
18,23.35812662,24.33930093,25.52417731,18.30863574,19.36864318
19,23.35812662,26.22615901,25.52417731,18.30863574,19.36864318
20,21.67069153,30.67383158,24.69506576,18.30863574,19.36864318
21,21.67069153,28.56310713,24.69506576,18.30863574,19.36864318
22,21.67069153,29.66418554,24.69506576,18.30863574,19.36864318
23,21.67069153,27.52648169,24.69506576,18.30863574,19.36864318
24,21.67069153,24.72525945,24.69506576,18.30863574,19.36864318
25,21.67069153,27.24129209,24.69506576,18.30863574,19.36864318
26,21.67069153,28.30553462,24.69506576,18.30863574,18.62192981
27,21.67069153,24.25854297,24.69506576,18.30863574,18.62192981
28,21.67069153,25.024995,24.69506576,18.30863574,18.62192981
29,21.67069153,25.024995,24.30778924,18.30863574,18.62192981
30,21.67069153,27.8428109,24.30778924,18.30863574,18.62192981
31,21.67069153,27.8428109,24.30778924,18.30863574,18.62192981
32,21.67069153,27.8428109,24.30778924,18.30863574,18.62192981
33,20.97562012,27.8428109,24.30778924,18.30863574,18.62192981
34,20.97562012,27.8428109,24.30778924,18.30863574,18.62192981
35,20.97562012,28.21052738,24.30778924,18.30863574,18.62192981
36,20.31590816,28.21052738,24.30778924,18.30863574,18.62192981
37,20.31590816,34.60849945,24.30778924,18.30863574,18.62192981
38,20.31590816,29.09545398,24.30778924,18.30863574,18.62192981
39,19.50510227,28.74877034,24.30778924,18.30863574,18.62192981
40,19.50510227,30.50796038,24.30778924,18.30863574,18.62192981
41,19.50510227,29.31097797,24.30778924,18.30863574,18.62192981
42,19.50510227,28.19081715,24.30778924,18.30863574,18.62192981
43,19.50510227,28.19081715,24.30778924,18.30863574,18.62192981
44,19.50510227,25.42139974,24.30778924,18.30863574,18.62192981
45,19.50510227,28.30886876,24.30778924,18.30863574,18.62192981
46,19.50510227,30.06764034,24.30778924,18.30863574,18.62192981
47,19.50510227,27.26685131,24.30778924,18.30863574,18.62192981
48,19.50510227,26.54489542,24.30778924,18.30863574,18.62192981
49,19.50510227,26.54489542,24.30778924,18.30863574,18.62192981
50,19.50510227,26.54489542,24.30778924,18.30863574,18.62192981
51,19.50510227,26.54489542,24.30778924,18.30863574,18.62192981
52,19.50510227,26.54489542,24.30778924,18.30863574,18.62192981
53,19.50510227,26.40659996,24.30778924,18.30863574,18.62192981
54,19.50510227,25.30025673,24.30778924,18.30863574,18.62192981
55,19.50510227,25.45944602,24.30778924,18.30863574,18.62192981
56,19.50510227,26.04150661,24.30778924,18.30863574,18.62192981
57,18.90871568,21.4559457,24.30778924,18.30863574,18.62192981
58,18.31064593,21.88474749,24.30778924,18.30863574,18.62192981
59,18.31064593,21.88474749,24.30778924,18.30863574,18.62192981
60,18.31064593,25.12060495,24.30778924,18.30863574,18.62192981
61,18.31064593,23.79872323,24.30778924,18.30863574,18.62192981
62,18.31064593,23.59192748,24.30778924,18.30863574,18.62192981
63,18.31064593,23.59192748,24.30778924,18.30863574,18.62192981
64,18.24662402,26.77726075,24.30778924,18.30863574,18.62192981
65,18.24662402,23.95849377,24.30778924,18.30863574,18.62192981
66,18.24662402,20.11334297,24.30778924,18.30863574,18.62192981
67,18.24662402,25.15113894,24.30778924,18.30863574,18.62192981
68,18.24662402,25.15113894,24.30778924,18.30863574,18.62192981
69,18.24662402,25.76467155,24.30778924,18.30863574,18.62192981
70,18.24662402,28.9114493,24.30778924,18.30863574,18.62192981
71,18.24662402,25.87878696,24.30778924,18.30863574,18.62192981
72,17.89941137,26.54065735,24.30778924,18.30863574,18.62192981
73,17.89941137,28.9114493,24.30778924,18.30863574,18.62192981
74,17.89941137,25.5049052,24.30778924,18.30863574,18.62192981
75,17.89941137,30.51662871,24.30778924,18.30863574,18.62192981
76,17.89941137,30.04941479,24.30778924,18.30863574,18.62192981
77,17.89941137,27.14594533,24.30778924,18.30863574,18.62192981
78,17.89941137,25.97727415,24.30778924,18.30863574,18.62192981
79,17.89941137,25.97727415,24.30778924,18.30863574,18.62192981
80,17.89941137,26.76648109,24.30778924,18.30863574,18.62192981
81,17.89941137,22.52213926,24.30778924,18.30863574,18.62192981
82,17.89941137,28.77190102,24.30778924,18.30863574,18.62192981
83,17.89941137,26.50724056,24.30778924,18.30863574,18.62192981
84,17.89941137,26.50724056,24.30778924,18.30863574,18.62192981
85,17.89941137,25.40677458,24.30778924,18.30863574,18.62192981
86,17.89941137,25.40677458,24.30778924,18.30863574,18.62192981
87,17.89941137,23.05512012,24.30778924,18.30863574,18.62192981
88,17.89941137,23.01124784,24.30778924,18.30863574,18.62192981
89,17.89941137,22.14851392,24.30778924,18.30863574,18.62192981
90,17.89941137,22.14851392,24.30778924,18.30863574,18.62192981
91,17.89941137,23.19648907,23.71560853,18.30863574,18.62192981
92,17.89941137,23.19648907,23.71560853,18.30863574,18.62192981
93,17.89941137,26.61335443,23.71560853,18.30863574,18.62192981
94,17.89941137,27.59483052,23.71560853,18.30863574,18.62192981
95,17.89941137,27.89033456,23.71560853,18.30863574,18.62192981
96,17.89941137,26.6657159,23.71560853,18.30863574,18.62192981
97,17.89941137,25.10105212,23.71560853,18.30863574,18.62192981
98,17.89941137,29.0915638,23.71560853,18.30863574,18.62192981
99,17.89941137,28.8607846,23.71560853,18.30863574,18.62192981
100,17.89941137,28.3576115,23.71560853,18.30863574,18.62192981
